"number";"Player";"xGChain90";"xGBuildup90"
1;"Kylian Mbappe-Lottin";1.08;0.31
2;"Ferrán Torres";1.13;0.22
3;"Vedat Muriqi";0.5;0.18
4;"Robert Lewandowski";1.3;0.36
5;"Julián Álvarez";0.83;0.33
6;"Rafa Mir";0.43;0.12
7;"Juan Camilo Hernández";0.58;0.17
8;"Raphinha";1.42;0.57
9;"Etta Eyong";0.55;0.05
10;"Lamine Yamal";1.17;0.54
11;"Alberto Moleiro";0.59;0.17
12;"Mikel Oyarzabal";0.72;0.26
13;"Antoine Griezmann";1.25;0.52
14;"Borja Iglesias";0.66;0.18
15;"Pere Milla";0.52;0.15
16;"Hugo Duro";0.45;0.08
17;"Vinícius Júnior";0.86;0.26
18;"Antony";0.73;0.35
19;"Tajon Buchanan";0.47;0.19
20;"Ante Budimir";0.28;0.06
21;"Gerard Moreno";0.84;0.43
22;"Borja Mayoral";0.22;0.03
23;"André Silva";0.65;0.12
24;"Alexander Sørloth";0.59;0.02
25;"Jorge De Frutos";0.57;0.1
26;"Dani Olmo";1.06;0.57
27;"Iván Romero";0.56;0.06
28;"Fermín López";1.17;0.58
29;"Carlos Vicente";0.35;0.06
30;"Roberto Fernández";0.51;0.08
31;"Lucas Boyé";0.54;0.15
32;"Cristhian Stuani";0.6;0.25
33;"Pablo Fornals";0.71;0.44
34;"Kike García";0.81;0.12
35;"Gonçalo Guedes";0.55;0.35
36;"Brais Méndez";0.54;0.28
37;"Álvaro García";0.68;0.08
38;"Ander Barrenetxea";0.67;0.38
39;"Ruben Vargas";0.39;0.15
40;"Arnaut Danjuma Groeneveld";0.39;0.08
41;"Georges Mikautadze";0.77;0.04
42;"Azz-Eddine Ounahi";0.41;0.27
43;"Roberto Navarro";0.42;0.19
44;"Jude Bellingham";0.82;0.46
45;"Nico Williams";0.69;0.2
46;"Diego López";0.37;0.08
47;"Abdessamad Ezzalzouli";0.91;0.21
48;"Williot Swedberg";0.83;0.38
49;"Viktor Tsygankov";0.45;0.1
50;"Akor Adams";0.57;0.07
51;"Arda Güler";0.68;0.32
52;"Isaac Romero";0.55;0.12
53;"Adrián Liso";0.19;0.02
54;"Vladyslav Vanat";0.53;0.13
55;"Alexis Sánchez";0.44;0.34
56;"Marcus Rashford";0.81;0.37
57;"Ayoze Pérez";0.96;0.27
58;"Salomón Rondón";0.27;0.03
59;"Iago Aspas";1;0.59
60;"Carlos Soler";0.39;0.25
61;"Djibril Sow";0.25;0.17
62;"Mauro Arambarri";0.17;0.03
63;"Nicolas Pepe";1.1;0.45
64;"Leandro Cabrera";0.24;0.22
65;"Antonio Martínez";0.33;0.11
66;"Javi Puado";0.43;0.16
67;"Santiago Comesaña";0.8;0.55
68;"Alejandro Catena";0.11;0.06
69;"Raul García";0.44;0.04
70;"Ronald Araújo";0.41;0.33
71;"German Valera";0.34;0.26
72;"Álex Baena";0.8;0.46
73;"Ferrán Jutglà";0.38;0.18
74;"Pape Alassane Gueye";0.73;0.53
75;"Pedri";1.09;0.85
76;"Giuliano Simeone";0.77;0.36
77;"Samú Costa";0.34;0.23
78;"Pablo Durán";0.33;0.04
79;"Alvaro Rodríguez";0.51;0.1
80;"Mateo Joseph";0.46;0.1
81;"Carlos Álvarez";0.51;0.29
82;"Mario Martín";0.09;0.05
83;"Carlos Romero";0.32;0.19
84;"Víctor Muñoz";0.27;0.1
85;"Thiago Almada";1.14;0.59
86;"Tani Oluwaseyi";1.13;0.05
87;"Jeremy Toljan";0.33;0.17
88;"Pablo Maffeo";0.35;0.32
89;"Diego Llorente";0;0
90;"Rubén García";0.23;0.11
91;"Morales";1.41;0.6
92;"Koke";0.58;0.53
93;"Cédric Bakambu";2.15;0.48
94;"Denis Suárez";0.41;0.32
95;"Iñaki Williams";0.33;0.12
96;"Álvaro Odriozola";0.87;0
97;"Marc Bartra";0.34;0.34
98;"Omar Mascarell";0.33;0.27
99;"Axel Witsel";0.43;0.39
100;"Alex Berenguer";0.48;0.17
101;"Baptiste Santamaria";0.28;0.25
102;"Mouctar Diakhaby";0.16;0.15
103;"Giovani Lo Celso";0.87;0.56
104;"Dodi Lukebakio";0.5;0.13
105;"Takuma Asano";0.51;0.24
106;"Ander Guevara";0.24;0.21
107;"Aitor Ruibal";0.5;0.19
108;"Jules Koundé";0.66;0.59
109;"Manuel Morlanes";0.43;0.3
